[2026-03-30T21:25:16.086075] ACTION: IOT_UPLOAD | CAT: b暹罗_小黑 | ML: 159.2 | RESULT: 达标
[2026-04-08T23:42:21.977860] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 281.4 | RESULT: 超标
[2026-04-08T23:42:21.988261] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 137.0 | RESULT: 达标
[2026-04-08T23:42:21.994803] ACTION: IOT_UPLOAD | CAT: test_cat_32 | ML: 95.8 | RESULT: 未达标
[2026-04-08T23:42:21.996859] ACTION: IOT_UPLOAD | CAT: test_cat_91 | ML: 289.1 | RESULT: 超标
[2026-04-08T23:42:22.010951] ACTION: IOT_UPLOAD | CAT: test_cat_12 | ML: 290.9 | RESULT: 超标
[2026-04-08T23:42:22.020275] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 122.6 | RESULT: 达标
[2026-04-08T23:42:22.024222] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 77.8 | RESULT: 未达标
[2026-04-08T23:42:22.035279] ACTION: IOT_UPLOAD | CAT: test_cat_100 | ML: 137.9 | RESULT: 达标
[2026-04-08T23:42:22.041992] ACTION: IOT_UPLOAD | CAT: test_cat_58 | ML: 35.4 | RESULT: 未达标
[2026-04-08T23:42:22.043804] ACTION: IOT_UPLOAD | CAT: test_cat_30 | ML: 291.3 | RESULT: 超标
[2026-04-08T23:42:22.052557] ACTION: IOT_UPLOAD | CAT: test_cat_53 | ML: 208.8 | RESULT: 超标
[2026-04-08T23:42:22.064946] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 268.9 | RESULT: 超标
[2026-04-08T23:42:22.066013] ACTION: IOT_UPLOAD | CAT: test_cat_28 | ML: 33.6 | RESULT: 未达标
[2026-04-08T23:42:22.081019] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 45.1 | RESULT: 未达标
[2026-04-08T23:42:22.083827] ACTION: IOT_UPLOAD | CAT: test_cat_52 | ML: 76.4 | RESULT: 未达标
[2026-04-08T23:42:22.085900] ACTION: IOT_UPLOAD | CAT: test_cat_26 | ML: 252.2 | RESULT: 超标
[2026-04-08T23:42:22.095324] ACTION: IOT_UPLOAD | CAT: test_cat_89 | ML: 227.6 | RESULT: 超标
[2026-04-08T23:42:22.105970] ACTION: IOT_UPLOAD | CAT: test_cat_61 | ML: 144.8 | RESULT: 达标
[2026-04-08T23:42:22.109304] ACTION: IOT_UPLOAD | CAT: test_cat_45 | ML: 123.5 | RESULT: 达标
[2026-04-08T23:42:22.118679] ACTION: IOT_UPLOAD | CAT: test_cat_10 | ML: 38.1 | RESULT: 未达标
[2026-04-08T23:42:22.124829] ACTION: IOT_UPLOAD | CAT: test_cat_65 | ML: 189.3 | RESULT: 超标
[2026-04-08T23:42:22.131746] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 117.2 | RESULT: 未达标
[2026-04-08T23:42:22.140624] ACTION: IOT_UPLOAD | CAT: test_cat_3 | ML: 235.5 | RESULT: 超标
[2026-04-08T23:42:22.147741] ACTION: IOT_UPLOAD | CAT: test_cat_16 | ML: 152.9 | RESULT: 达标
[2026-04-08T23:42:22.156437] ACTION: IOT_UPLOAD | CAT: test_cat_30 | ML: 149.3 | RESULT: 达标
[2026-04-08T23:42:22.167416] ACTION: IOT_UPLOAD | CAT: test_cat_69 | ML: 216.8 | RESULT: 超标
[2026-04-08T23:42:22.168447] ACTION: IOT_UPLOAD | CAT: test_cat_19 | ML: 11.6 | RESULT: 未达标
[2026-04-08T23:42:22.173361] ACTION: IOT_UPLOAD | CAT: test_cat_60 | ML: 213.5 | RESULT: 超标
[2026-04-08T23:42:22.178080] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 116.1 | RESULT: 未达标
[2026-04-08T23:42:22.194244] ACTION: IOT_UPLOAD | CAT: test_cat_58 | ML: 229.5 | RESULT: 超标
[2026-04-08T23:42:22.199273] ACTION: IOT_UPLOAD | CAT: test_cat_99 | ML: 42.5 | RESULT: 未达标
[2026-04-08T23:42:22.204982] ACTION: IOT_UPLOAD | CAT: test_cat_11 | ML: 25.3 | RESULT: 未达标
[2026-04-08T23:42:22.207904] ACTION: IOT_UPLOAD | CAT: test_cat_6 | ML: 122.4 | RESULT: 达标
[2026-04-08T23:42:22.217949] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 143.4 | RESULT: 达标
[2026-04-08T23:42:22.224718] ACTION: IOT_UPLOAD | CAT: test_cat_73 | ML: 20.8 | RESULT: 未达标
[2026-04-08T23:42:22.235406] ACTION: IOT_UPLOAD | CAT: test_cat_75 | ML: 213.5 | RESULT: 超标
[2026-04-08T23:42:22.244129] ACTION: IOT_UPLOAD | CAT: test_cat_32 | ML: 18.7 | RESULT: 未达标
[2026-04-08T23:42:22.252046] ACTION: IOT_UPLOAD | CAT: test_cat_23 | ML: 260.5 | RESULT: 超标
[2026-04-08T23:42:22.254715] ACTION: IOT_UPLOAD | CAT: test_cat_65 | ML: 265.9 | RESULT: 超标
[2026-04-08T23:42:22.266137] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 93.7 | RESULT: 未达标
[2026-04-08T23:42:22.269698] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 96.4 | RESULT: 未达标
[2026-04-08T23:42:22.279140] ACTION: IOT_UPLOAD | CAT: test_cat_8 | ML: 189.8 | RESULT: 超标
[2026-04-08T23:42:22.290956] ACTION: IOT_UPLOAD | CAT: test_cat_92 | ML: 52.3 | RESULT: 未达标
[2026-04-08T23:42:22.293172] ACTION: IOT_UPLOAD | CAT: test_cat_15 | ML: 253.6 | RESULT: 超标
[2026-04-08T23:42:22.296993] ACTION: IOT_UPLOAD | CAT: test_cat_8 | ML: 239.8 | RESULT: 超标
[2026-04-08T23:42:22.313680] ACTION: IOT_UPLOAD | CAT: test_cat_54 | ML: 112.8 | RESULT: 未达标
[2026-04-08T23:42:22.315783] ACTION: IOT_UPLOAD | CAT: test_cat_53 | ML: 222.8 | RESULT: 超标
[2026-04-08T23:42:22.330057] ACTION: IOT_UPLOAD | CAT: test_cat_4 | ML: 273.6 | RESULT: 超标
[2026-04-08T23:42:22.334871] ACTION: IOT_UPLOAD | CAT: test_cat_60 | ML: 169.0 | RESULT: 达标
[2026-04-08T23:42:22.337428] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 91.9 | RESULT: 未达标
[2026-04-08T23:42:22.346923] ACTION: IOT_UPLOAD | CAT: test_cat_95 | ML: 57.9 | RESULT: 未达标
[2026-04-08T23:42:22.360752] ACTION: IOT_UPLOAD | CAT: test_cat_64 | ML: 32.8 | RESULT: 未达标
[2026-04-08T23:42:22.362694] ACTION: IOT_UPLOAD | CAT: test_cat_77 | ML: 70.4 | RESULT: 未达标
[2026-04-08T23:42:22.363998] ACTION: IOT_UPLOAD | CAT: test_cat_26 | ML: 53.9 | RESULT: 未达标
[2026-04-08T23:42:22.377798] ACTION: IOT_UPLOAD | CAT: test_cat_49 | ML: 203.4 | RESULT: 超标
[2026-04-08T23:42:22.387155] ACTION: IOT_UPLOAD | CAT: test_cat_72 | ML: 159.3 | RESULT: 达标
[2026-04-08T23:42:22.394608] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 38.4 | RESULT: 未达标
[2026-04-08T23:42:22.402436] ACTION: IOT_UPLOAD | CAT: test_cat_28 | ML: 119.8 | RESULT: 未达标
[2026-04-08T23:42:22.407108] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 113.8 | RESULT: 未达标
[2026-04-08T23:42:22.411240] ACTION: IOT_UPLOAD | CAT: test_cat_71 | ML: 215.2 | RESULT: 超标
[2026-04-08T23:42:22.418536] ACTION: IOT_UPLOAD | CAT: test_cat_82 | ML: 72.7 | RESULT: 未达标
[2026-04-08T23:42:22.435386] ACTION: IOT_UPLOAD | CAT: test_cat_2 | ML: 96.3 | RESULT: 未达标
[2026-04-08T23:42:22.444006] ACTION: IOT_UPLOAD | CAT: test_cat_47 | ML: 183.5 | RESULT: 超标
[2026-04-08T23:42:22.445407] ACTION: IOT_UPLOAD | CAT: test_cat_54 | ML: 58.0 | RESULT: 未达标
[2026-04-08T23:42:22.458383] ACTION: IOT_UPLOAD | CAT: test_cat_84 | ML: 172.0 | RESULT: 达标
[2026-04-08T23:42:22.462293] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 179.9 | RESULT: 达标
[2026-04-08T23:42:22.466252] ACTION: IOT_UPLOAD | CAT: test_cat_88 | ML: 126.0 | RESULT: 达标
[2026-04-08T23:42:22.481932] ACTION: IOT_UPLOAD | CAT: test_cat_100 | ML: 220.1 | RESULT: 超标
[2026-04-08T23:42:22.490175] ACTION: IOT_UPLOAD | CAT: test_cat_100 | ML: 120.2 | RESULT: 达标
[2026-04-08T23:42:22.493499] ACTION: IOT_UPLOAD | CAT: test_cat_82 | ML: 182.4 | RESULT: 超标
[2026-04-08T23:42:22.496912] ACTION: IOT_UPLOAD | CAT: test_cat_52 | ML: 138.6 | RESULT: 达标
[2026-04-08T23:42:22.505778] ACTION: IOT_UPLOAD | CAT: test_cat_22 | ML: 47.9 | RESULT: 未达标
[2026-04-08T23:42:22.506890] ACTION: IOT_UPLOAD | CAT: test_cat_78 | ML: 220.9 | RESULT: 超标
[2026-04-08T23:42:22.525929] ACTION: IOT_UPLOAD | CAT: test_cat_40 | ML: 296.7 | RESULT: 超标
[2026-04-08T23:42:22.528525] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 206.6 | RESULT: 超标
[2026-04-08T23:42:22.537936] ACTION: IOT_UPLOAD | CAT: test_cat_70 | ML: 292.4 | RESULT: 超标
[2026-04-08T23:42:22.542787] ACTION: IOT_UPLOAD | CAT: test_cat_15 | ML: 175.2 | RESULT: 达标
[2026-04-08T23:42:22.544307] ACTION: IOT_UPLOAD | CAT: test_cat_60 | ML: 181.4 | RESULT: 超标
[2026-04-08T23:42:22.548558] ACTION: IOT_UPLOAD | CAT: test_cat_80 | ML: 61.2 | RESULT: 未达标
[2026-04-08T23:42:22.561124] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 73.2 | RESULT: 未达标
[2026-04-08T23:42:22.574984] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 291.9 | RESULT: 超标
[2026-04-08T23:42:22.575790] ACTION: IOT_UPLOAD | CAT: test_cat_6 | ML: 212.7 | RESULT: 超标
[2026-04-08T23:42:22.581714] ACTION: IOT_UPLOAD | CAT: test_cat_48 | ML: 163.4 | RESULT: 达标
[2026-04-08T23:42:22.586879] ACTION: IOT_UPLOAD | CAT: test_cat_43 | ML: 261.2 | RESULT: 超标
[2026-04-08T23:42:22.595730] ACTION: IOT_UPLOAD | CAT: test_cat_97 | ML: 99.2 | RESULT: 未达标
[2026-04-08T23:42:22.599961] ACTION: IOT_UPLOAD | CAT: test_cat_63 | ML: 292.4 | RESULT: 超标
[2026-04-08T23:42:22.600866] ACTION: IOT_UPLOAD | CAT: test_cat_33 | ML: 227.0 | RESULT: 超标
[2026-04-08T23:42:22.618620] ACTION: IOT_UPLOAD | CAT: test_cat_27 | ML: 261.8 | RESULT: 超标
[2026-04-08T23:42:22.622413] ACTION: IOT_UPLOAD | CAT: test_cat_16 | ML: 151.6 | RESULT: 达标
[2026-04-08T23:42:22.623111] ACTION: IOT_UPLOAD | CAT: test_cat_27 | ML: 99.1 | RESULT: 未达标
[2026-04-08T23:42:22.635548] ACTION: IOT_UPLOAD | CAT: test_cat_54 | ML: 30.8 | RESULT: 未达标
[2026-04-08T23:42:22.638865] ACTION: IOT_UPLOAD | CAT: test_cat_69 | ML: 36.3 | RESULT: 未达标
[2026-04-08T23:42:22.645329] ACTION: IOT_UPLOAD | CAT: test_cat_76 | ML: 122.7 | RESULT: 达标
[2026-04-08T23:42:22.657027] ACTION: IOT_UPLOAD | CAT: test_cat_45 | ML: 42.2 | RESULT: 未达标
[2026-04-08T23:42:22.662661] ACTION: IOT_UPLOAD | CAT: test_cat_71 | ML: 176.4 | RESULT: 达标
[2026-04-08T23:42:22.669042] ACTION: IOT_UPLOAD | CAT: test_cat_28 | ML: 16.6 | RESULT: 未达标
[2026-04-08T23:42:22.675996] ACTION: IOT_UPLOAD | CAT: test_cat_18 | ML: 98.2 | RESULT: 未达标
[2026-04-08T23:42:22.685478] ACTION: IOT_UPLOAD | CAT: test_cat_86 | ML: 104.3 | RESULT: 未达标
[2026-04-08T23:42:22.691294] ACTION: IOT_UPLOAD | CAT: test_cat_87 | ML: 82.7 | RESULT: 未达标
[2026-04-08T23:42:22.695921] ACTION: IOT_UPLOAD | CAT: test_cat_60 | ML: 48.9 | RESULT: 未达标
[2026-04-08T23:42:22.703462] ACTION: IOT_UPLOAD | CAT: test_cat_77 | ML: 242.3 | RESULT: 超标
[2026-04-08T23:42:22.709525] ACTION: IOT_UPLOAD | CAT: test_cat_43 | ML: 253.0 | RESULT: 超标
[2026-04-08T23:42:22.714243] ACTION: IOT_UPLOAD | CAT: test_cat_32 | ML: 84.5 | RESULT: 未达标
[2026-04-08T23:42:22.731467] ACTION: IOT_UPLOAD | CAT: test_cat_84 | ML: 255.6 | RESULT: 超标
[2026-04-08T23:42:22.732566] ACTION: IOT_UPLOAD | CAT: test_cat_39 | ML: 252.7 | RESULT: 超标
[2026-04-08T23:42:22.733344] ACTION: IOT_UPLOAD | CAT: test_cat_24 | ML: 188.9 | RESULT: 超标
[2026-04-08T23:42:22.735822] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 131.6 | RESULT: 达标
[2026-04-08T23:42:22.752432] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 264.9 | RESULT: 超标
[2026-04-08T23:42:22.763574] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 99.4 | RESULT: 未达标
[2026-04-08T23:42:22.767565] ACTION: IOT_UPLOAD | CAT: test_cat_63 | ML: 264.9 | RESULT: 超标
[2026-04-08T23:42:22.776892] ACTION: IOT_UPLOAD | CAT: test_cat_10 | ML: 192.7 | RESULT: 超标
[2026-04-08T23:42:22.782067] ACTION: IOT_UPLOAD | CAT: test_cat_3 | ML: 134.2 | RESULT: 达标
[2026-04-08T23:42:22.786774] ACTION: IOT_UPLOAD | CAT: test_cat_39 | ML: 159.2 | RESULT: 达标
[2026-04-08T23:42:22.797077] ACTION: IOT_UPLOAD | CAT: test_cat_24 | ML: 93.4 | RESULT: 未达标
[2026-04-08T23:42:22.810353] ACTION: IOT_UPLOAD | CAT: test_cat_80 | ML: 184.0 | RESULT: 超标
[2026-04-08T23:42:22.814357] ACTION: IOT_UPLOAD | CAT: test_cat_27 | ML: 100.0 | RESULT: 未达标
[2026-04-08T23:42:22.822777] ACTION: IOT_UPLOAD | CAT: test_cat_89 | ML: 82.8 | RESULT: 未达标
[2026-04-08T23:42:22.829026] ACTION: IOT_UPLOAD | CAT: test_cat_11 | ML: 195.2 | RESULT: 超标
[2026-04-08T23:42:22.838180] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 194.0 | RESULT: 超标
[2026-04-08T23:42:22.844380] ACTION: IOT_UPLOAD | CAT: test_cat_6 | ML: 28.1 | RESULT: 未达标
[2026-04-08T23:42:22.846914] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 63.7 | RESULT: 未达标
[2026-04-08T23:42:22.856894] ACTION: IOT_UPLOAD | CAT: test_cat_16 | ML: 177.7 | RESULT: 达标
[2026-04-08T23:42:22.865416] ACTION: IOT_UPLOAD | CAT: test_cat_99 | ML: 56.0 | RESULT: 未达标
[2026-04-08T23:42:22.867818] ACTION: IOT_UPLOAD | CAT: test_cat_23 | ML: 274.9 | RESULT: 超标
[2026-04-08T23:42:22.877550] ACTION: IOT_UPLOAD | CAT: test_cat_99 | ML: 262.7 | RESULT: 超标
[2026-04-08T23:42:22.885116] ACTION: IOT_UPLOAD | CAT: test_cat_53 | ML: 171.5 | RESULT: 达标
[2026-04-08T23:42:22.892329] ACTION: IOT_UPLOAD | CAT: test_cat_73 | ML: 220.8 | RESULT: 超标
[2026-04-08T23:42:22.899386] ACTION: IOT_UPLOAD | CAT: test_cat_41 | ML: 39.2 | RESULT: 未达标
[2026-04-08T23:42:22.914288] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 239.5 | RESULT: 超标
[2026-04-08T23:42:22.917042] ACTION: IOT_UPLOAD | CAT: test_cat_95 | ML: 218.0 | RESULT: 超标
[2026-04-08T23:42:22.922103] ACTION: IOT_UPLOAD | CAT: test_cat_98 | ML: 11.9 | RESULT: 未达标
[2026-04-08T23:42:22.927547] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 277.3 | RESULT: 超标
[2026-04-08T23:42:22.935250] ACTION: IOT_UPLOAD | CAT: test_cat_91 | ML: 80.4 | RESULT: 未达标
[2026-04-08T23:42:22.944280] ACTION: IOT_UPLOAD | CAT: test_cat_54 | ML: 100.6 | RESULT: 未达标
[2026-04-08T23:42:22.949659] ACTION: IOT_UPLOAD | CAT: test_cat_7 | ML: 253.1 | RESULT: 超标
[2026-04-08T23:42:22.957798] ACTION: IOT_UPLOAD | CAT: test_cat_64 | ML: 224.8 | RESULT: 超标
[2026-04-08T23:42:22.972299] ACTION: IOT_UPLOAD | CAT: test_cat_44 | ML: 164.5 | RESULT: 达标
[2026-04-08T23:42:22.974094] ACTION: IOT_UPLOAD | CAT: test_cat_14 | ML: 72.2 | RESULT: 未达标
[2026-04-08T23:42:22.976160] ACTION: IOT_UPLOAD | CAT: test_cat_13 | ML: 35.8 | RESULT: 未达标
[2026-04-08T23:42:22.980084] ACTION: IOT_UPLOAD | CAT: test_cat_4 | ML: 12.1 | RESULT: 未达标
[2026-04-08T23:42:22.986853] ACTION: IOT_UPLOAD | CAT: test_cat_9 | ML: 91.2 | RESULT: 未达标
[2026-04-08T23:42:22.994673] ACTION: IOT_UPLOAD | CAT: test_cat_25 | ML: 136.2 | RESULT: 达标
[2026-04-08T23:42:23.001940] ACTION: IOT_UPLOAD | CAT: test_cat_3 | ML: 215.3 | RESULT: 超标
[2026-04-08T23:42:23.017401] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 257.8 | RESULT: 超标
[2026-04-08T23:42:23.026572] ACTION: IOT_UPLOAD | CAT: test_cat_65 | ML: 295.1 | RESULT: 超标
[2026-04-08T23:42:23.027351] ACTION: IOT_UPLOAD | CAT: test_cat_59 | ML: 34.1 | RESULT: 未达标
[2026-04-08T23:42:23.053703] ACTION: IOT_UPLOAD | CAT: test_cat_11 | ML: 200.2 | RESULT: 超标
[2026-04-08T23:42:23.054525] ACTION: IOT_UPLOAD | CAT: test_cat_68 | ML: 72.8 | RESULT: 未达标
[2026-04-08T23:42:23.069506] ACTION: IOT_UPLOAD | CAT: test_cat_4 | ML: 128.8 | RESULT: 达标
[2026-04-08T23:42:23.081080] ACTION: IOT_UPLOAD | CAT: test_cat_65 | ML: 78.9 | RESULT: 未达标
[2026-04-08T23:42:23.087395] ACTION: IOT_UPLOAD | CAT: test_cat_91 | ML: 179.8 | RESULT: 达标
[2026-04-08T23:42:23.091244] ACTION: IOT_UPLOAD | CAT: test_cat_82 | ML: 182.4 | RESULT: 超标
[2026-04-08T23:42:23.101881] ACTION: IOT_UPLOAD | CAT: test_cat_72 | ML: 185.3 | RESULT: 超标
[2026-04-08T23:42:23.106778] ACTION: IOT_UPLOAD | CAT: test_cat_27 | ML: 227.4 | RESULT: 超标
[2026-04-08T23:42:23.124175] ACTION: IOT_UPLOAD | CAT: test_cat_23 | ML: 185.0 | RESULT: 超标
[2026-04-08T23:42:23.124696] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 85.8 | RESULT: 未达标
[2026-04-08T23:42:23.125190] ACTION: IOT_UPLOAD | CAT: test_cat_74 | ML: 124.6 | RESULT: 达标
[2026-04-08T23:42:23.132436] ACTION: IOT_UPLOAD | CAT: test_cat_26 | ML: 149.9 | RESULT: 达标
[2026-04-08T23:42:23.145619] ACTION: IOT_UPLOAD | CAT: test_cat_81 | ML: 159.3 | RESULT: 达标
[2026-04-08T23:42:23.155400] ACTION: IOT_UPLOAD | CAT: test_cat_1 | ML: 263.6 | RESULT: 超标
[2026-04-08T23:42:23.161700] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 143.4 | RESULT: 达标
[2026-04-08T23:42:23.163654] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 37.9 | RESULT: 未达标
[2026-04-08T23:42:23.177766] ACTION: IOT_UPLOAD | CAT: test_cat_48 | ML: 136.7 | RESULT: 达标
[2026-04-08T23:42:23.181630] ACTION: IOT_UPLOAD | CAT: test_cat_74 | ML: 284.7 | RESULT: 超标
[2026-04-08T23:42:23.183437] ACTION: IOT_UPLOAD | CAT: test_cat_7 | ML: 245.6 | RESULT: 超标
[2026-04-08T23:42:23.204771] ACTION: IOT_UPLOAD | CAT: test_cat_57 | ML: 11.1 | RESULT: 未达标
[2026-04-08T23:42:23.206475] ACTION: IOT_UPLOAD | CAT: test_cat_45 | ML: 218.0 | RESULT: 超标
[2026-04-08T23:42:23.212921] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 203.0 | RESULT: 超标
[2026-04-08T23:42:23.214770] ACTION: IOT_UPLOAD | CAT: test_cat_31 | ML: 180.3 | RESULT: 超标
[2026-04-08T23:42:23.227841] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 31.1 | RESULT: 未达标
[2026-04-08T23:42:23.233746] ACTION: IOT_UPLOAD | CAT: test_cat_31 | ML: 155.9 | RESULT: 达标
[2026-04-08T23:42:23.249014] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 222.8 | RESULT: 超标
[2026-04-08T23:42:23.249439] ACTION: IOT_UPLOAD | CAT: test_cat_54 | ML: 282.3 | RESULT: 超标
[2026-04-08T23:42:23.254247] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 282.5 | RESULT: 超标
[2026-04-08T23:42:23.256670] ACTION: IOT_UPLOAD | CAT: test_cat_77 | ML: 116.8 | RESULT: 未达标
[2026-04-08T23:42:23.274729] ACTION: IOT_UPLOAD | CAT: test_cat_66 | ML: 31.8 | RESULT: 未达标
[2026-04-08T23:42:23.277869] ACTION: IOT_UPLOAD | CAT: test_cat_83 | ML: 54.2 | RESULT: 未达标
[2026-04-08T23:42:23.286589] ACTION: IOT_UPLOAD | CAT: test_cat_19 | ML: 42.9 | RESULT: 未达标
[2026-04-08T23:42:23.288665] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 226.1 | RESULT: 超标
[2026-04-08T23:42:23.298388] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 20.2 | RESULT: 未达标
[2026-04-08T23:42:23.305086] ACTION: IOT_UPLOAD | CAT: test_cat_96 | ML: 199.3 | RESULT: 超标
[2026-04-08T23:42:23.309430] ACTION: IOT_UPLOAD | CAT: test_cat_61 | ML: 115.8 | RESULT: 未达标
[2026-04-08T23:42:23.323001] ACTION: IOT_UPLOAD | CAT: test_cat_19 | ML: 271.2 | RESULT: 超标
[2026-04-08T23:42:23.327537] ACTION: IOT_UPLOAD | CAT: test_cat_22 | ML: 140.0 | RESULT: 达标
[2026-04-08T23:42:23.332433] ACTION: IOT_UPLOAD | CAT: test_cat_42 | ML: 218.0 | RESULT: 超标
[2026-04-08T23:42:23.345878] ACTION: IOT_UPLOAD | CAT: test_cat_6 | ML: 138.8 | RESULT: 达标
[2026-04-08T23:42:23.346771] ACTION: IOT_UPLOAD | CAT: test_cat_93 | ML: 145.8 | RESULT: 达标
[2026-04-08T23:42:23.354622] ACTION: IOT_UPLOAD | CAT: test_cat_45 | ML: 214.0 | RESULT: 超标
[2026-04-08T23:42:23.365840] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 102.4 | RESULT: 未达标
[2026-04-08T23:42:23.370511] ACTION: IOT_UPLOAD | CAT: test_cat_51 | ML: 212.9 | RESULT: 超标
[2026-04-08T23:42:23.381379] ACTION: IOT_UPLOAD | CAT: test_cat_100 | ML: 279.4 | RESULT: 超标
[2026-04-08T23:42:23.383918] ACTION: IOT_UPLOAD | CAT: test_cat_13 | ML: 14.0 | RESULT: 未达标
[2026-04-08T23:42:23.390968] ACTION: IOT_UPLOAD | CAT: test_cat_28 | ML: 178.9 | RESULT: 达标
[2026-04-08T23:42:23.401236] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 137.0 | RESULT: 达标
[2026-04-08T23:42:23.409845] ACTION: IOT_UPLOAD | CAT: test_cat_65 | ML: 229.6 | RESULT: 超标
[2026-04-08T23:42:23.412827] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 33.2 | RESULT: 未达标
[2026-04-08T23:42:23.419747] ACTION: IOT_UPLOAD | CAT: test_cat_91 | ML: 270.4 | RESULT: 超标
[2026-04-08T23:42:23.423711] ACTION: IOT_UPLOAD | CAT: test_cat_62 | ML: 293.4 | RESULT: 超标
[2026-04-08T23:42:23.437038] ACTION: IOT_UPLOAD | CAT: test_cat_90 | ML: 190.3 | RESULT: 超标
[2026-04-08T23:42:23.440931] ACTION: IOT_UPLOAD | CAT: test_cat_40 | ML: 208.1 | RESULT: 超标
[2026-04-08T23:42:23.445616] ACTION: IOT_UPLOAD | CAT: test_cat_55 | ML: 36.1 | RESULT: 未达标
[2026-04-08T23:42:23.461591] ACTION: IOT_UPLOAD | CAT: test_cat_67 | ML: 147.1 | RESULT: 达标
[2026-04-08T23:42:23.462739] ACTION: IOT_UPLOAD | CAT: test_cat_37 | ML: 57.5 | RESULT: 未达标
[2026-04-08T23:42:23.468195] ACTION: IOT_UPLOAD | CAT: test_cat_24 | ML: 292.3 | RESULT: 超标
[2026-04-08T23:42:23.481459] ACTION: IOT_UPLOAD | CAT: test_cat_11 | ML: 19.6 | RESULT: 未达标
[2026-04-08T23:42:23.487915] ACTION: IOT_UPLOAD | CAT: test_cat_68 | ML: 214.0 | RESULT: 超标
[2026-04-08T23:42:23.492733] ACTION: IOT_UPLOAD | CAT: test_cat_17 | ML: 127.2 | RESULT: 达标
[2026-04-08T23:42:23.503712] ACTION: IOT_UPLOAD | CAT: test_cat_35 | ML: 188.1 | RESULT: 超标
[2026-04-08T23:42:23.512454] ACTION: IOT_UPLOAD | CAT: test_cat_43 | ML: 12.1 | RESULT: 未达标
[2026-04-08T23:42:23.513323] ACTION: IOT_UPLOAD | CAT: test_cat_56 | ML: 268.9 | RESULT: 超标
[2026-04-08T23:42:23.521224] ACTION: IOT_UPLOAD | CAT: test_cat_9 | ML: 262.3 | RESULT: 超标
[2026-04-08T23:42:23.527344] ACTION: IOT_UPLOAD | CAT: test_cat_57 | ML: 187.6 | RESULT: 超标
[2026-04-08T23:42:23.535178] ACTION: IOT_UPLOAD | CAT: test_cat_81 | ML: 131.2 | RESULT: 达标
[2026-04-08T23:42:23.542766] ACTION: IOT_UPLOAD | CAT: test_cat_95 | ML: 57.9 | RESULT: 未达标
[2026-04-08T23:42:23.551468] ACTION: IOT_UPLOAD | CAT: test_cat_79 | ML: 295.3 | RESULT: 超标
[2026-04-08T23:42:23.561427] ACTION: IOT_UPLOAD | CAT: test_cat_99 | ML: 239.0 | RESULT: 超标
[2026-04-08T23:42:23.563754] ACTION: IOT_UPLOAD | CAT: test_cat_9 | ML: 255.2 | RESULT: 超标
[2026-04-08T23:42:23.569689] ACTION: IOT_UPLOAD | CAT: test_cat_49 | ML: 19.7 | RESULT: 未达标
[2026-04-08T23:42:23.574718] ACTION: IOT_UPLOAD | CAT: test_cat_69 | ML: 216.8 | RESULT: 超标
